source_surface,scale,q,q_mod30,candidate,candidate_mod30,strip_depth,tail_family,tail_remainder,tail_remainder_mod30,tail_signature,tail_exponent_pattern,max_tail_exponent,peeled_factor_residue_path
base_third_strip,1000000,123821,11,123823,13,3,prime_square,361,1,19^2,2,2,7->7->7
base_third_strip,1000000,143141,11,143143,13,3,prime_square,169,19,13^2,2,2,7->11->11
base_third_strip,1000000,244781,11,244783,13,3,prime_square,289,19,17^2,2,2,7->11->11
base_third_strip,1000000,288461,11,288463,13,3,prime_square,841,1,29^2,2,2,7->7->7
base_third_strip,1000000,371291,11,371293,13,3,prime_square,169,19,13^2,2,2,13->13->13
base_third_strip,1000000,405767,17,405769,19,3,two_prime_power_family,1183,13,7*13^2,2,2,7->7->7
base_third_strip,1000000,576581,11,576583,13,3,prime_square,1681,1,41^2,2,2,7->7->7
base_third_strip,1000000,692459,29,692461,1,3,prime_square,529,19,23^2,2,2,7->11->17
base_third_strip,1000000,702557,17,702559,19,3,prime_square,289,19,17^2,2,2,11->13->17
base_third_strip,1000000,753569,29,753571,1,3,prime_cube,2197,7,13^3,3,3,7->7->7
base_third_strip,1000000,823541,11,823543,13,3,prime_power,2401,1,7^4,4,4,7->7->7
base_third_strip,1000000,866759,29,866761,1,3,two_prime_power_family,2527,7,7*19^2,2,2,7->7->7
base_third_strip,1000000,894689,29,894691,1,3,prime_square,961,1,31^2,2,2,7->7->19
base_third_strip,1000000,994901,11,994903,13,3,prime_square,841,1,29^2,2,2,7->13->13
fourth_strip,1000000000000000000,999999999999540167,17,999999999999540169,19,4,two_prime_power_family,6611613961081,1,107^2*577483969,2,2,7->17->1->11
